Variable,Importancia
cat__barrio_LA ESPERANZA SUR I,0.0
cat__barrio_TUNA,0.0
cat__barrio_LA ESTRADA,0.0
cat__barrio_LA ESTRADITA,0.0
cat__barrio_LA FAVORITA,0.0
cat__barrio_LA FISCALA,0.0
cat__barrio_LAS CRUCES,0.0
cat__barrio_LAS FERIAS OCCIDENTAL,0.0
cat__barrio_LAS GUACAMAYAS,0.0
cat__barrio_LAS MARGARITAS,0.0
cat__barrio_LAS MERCEDES SUBA,0.0
cat__barrio_LAS NIEVES,0.0
cat__barrio_LECH WALESA,0.0
cat__barrio_LISBOA SUBA,0.0
cat__barrio_JARDIN BOTANICO,0.0
cat__barrio_JORGE GAITAN CORTES,0.0
cat__barrio_JORGE URIBE BOTERO,0.0
cat__barrio_JOSE MARIA CARBONEL,0.0
cat__barrio_JUAN REY ( LA PAZ ),0.0
cat__barrio_JUAN XXIII,0.0
cat__barrio_KASANDRA,0.0
cat__barrio_LA ALAMEDA,0.0
cat__barrio_LA ALAMEDA SUR,0.0
cat__barrio_LA ANDREA,0.0
cat__barrio_LA ASUNCION,0.0
cat__barrio_GUADALUPE,0.0
cat__barrio_HIPOTECHO SUR,0.0
cat__barrio_IRAGUA,0.0
cat__barrio_ISLA DEL SOL,0.0
cat__barrio_ISLANDIA,0.0
cat__barrio_ISMAEL PERDOMO,0.0
cat__barrio_JAQUELINE,0.0
cat__barrio_LOS CEREZOS,0.0
cat__barrio_LOURDES,0.0
cat__barrio_LUCERO ALTO,0.0
cat__barrio_LUSITANIA,0.0
cat__barrio_GARCES NAVAS,0.0
cat__barrio_GARCES NAVAS ORIENTAL,0.0
cat__barrio_GARCES NAVAS SUR,0.0
cat__barrio_GORGONZOLA,0.0
cat__barrio_GRAN COLOMBIANO,0.0
cat__barrio_GRAN GRANADA,0.0
cat__barrio_GRANADA SUR,0.0
cat__barrio_GRANJAS DE TECHO,0.0
cat__barrio_MILLAN,0.0
cat__barrio_MODELO SUR,0.0
cat__barrio_MONTE BLANCO,0.0
cat__barrio_MUEQUETA,0.0
cat__barrio_NARINO SUR,0.0
cat__barrio_ESCUELA MILITAR,0.0
cat__barrio_ESPARTILLAL,0.0
cat__barrio_ESTACION CENTRAL,0.0
cat__barrio_LA CABANA OCCIDENTAL,0.0
cat__barrio_LA CAMELIA,0.0
cat__barrio_LA CAMPINA,0.0
cat__barrio_LA CAROLINA SUBA,0.0
cat__barrio_LA CONCORDIA,0.0
cat__barrio_LA PERSEVERANCIA,0.0
cat__barrio_LA PRADERA,0.0
cat__barrio_LA REQUILINA,0.0
cat__barrio_LA RIVIERA,0.0
cat__barrio_LA SABANA,0.0
cat__barrio_LA SOLEDAD NORTE,0.0
cat__barrio_LA TORRE,0.0
cat__barrio_LAGO GAITAN,0.0
cat__barrio_LAS AMERICAS,0.0
cat__barrio_LAS BRISAS ORIENTAL,0.0
cat__barrio_FLORIDA,0.0
cat__barrio_FLORIDA BLANCA,0.0
cat__barrio_GALAN,0.0
cat__barrio_GALICIA,0.0
cat__barrio_EL RUBI,0.0
cat__barrio_EL VERGEL OCCIDENTAL,0.0
cat__barrio_ENGATIVA ZONA URBANA,0.0
cat__barrio_NUEVO SAN ANDRES,0.0
cat__barrio_OLARTE,0.0
cat__barrio_PABLO VI NORTE,0.0
cat__barrio_EL PORTAL DEL BRASIL,0.0
cat__barrio_EL REAL,0.0
cat__barrio_EL REFUGIO,0.0
cat__barrio_EL RINCON,0.0
cat__barrio_EL RINCON NORTE,0.0
cat__barrio_EL JAZMIN,0.0
cat__barrio_EL LAUREL,0.0
cat__barrio_EL MADRIGAL,0.0
cat__barrio_EL PARAISO NORTE,0.0
cat__barrio_PALERMO,0.0
cat__barrio_PALO BLANCO,0.0
cat__barrio_PARIS GAITAN,0.0
cat__barrio_PARQUE DISTRITAL SALITRE,0.0
