Variable,Importancia
cat__barrio_BRASILIA,0.0
cat__barrio_BOYACA,0.0
cat__barrio_CENTRO FONTIBON,0.0
cat__barrio_CENTRO USME,0.0
cat__barrio_CHAPINERO CENTRAL,0.0
cat__barrio_CIUDAD KENNEDY SUR,0.0
cat__barrio_CORDOBA,0.0
cat__barrio_CONCEPCION NORTE,0.0
cat__barrio_BARRANQUILLITA,0.0
cat__barrio_COLSEGUROS,0.0
cat__barrio_COLON,0.0
cat__barrio_COLOMBIA,0.0
cat__barrio_BAVARIA,0.0
cat__barrio_BELEN,0.0
cat__barrio_CIUDAD UNIVERSITARIA,0.0
cat__barrio_CIUDAD SALITRE SUR-ORIENTAL,0.0
cat__barrio_CIUDAD SALITRE OCCIDENTAL,0.0
cat__barrio_CIUDAD SALITRE NOR-ORIENTAL,0.0
cat__barrio_CIUDAD KENNEDY ORIENTAL,0.0
cat__barrio_CHAPINERO NORTE,0.0
cat__barrio_CIUDAD KENNEDY NORTE,0.0
cat__barrio_CIUDAD JARDIN SUR,0.0
cat__barrio_CIUDAD JARDIN NORTE,0.0
cat__barrio_CIUDAD HUNZA,0.0
cat__barrio_BENJAMIN HERRERA,0.0
cat__barrio_CHUNIZA,0.0
cat__barrio_CHICO SUR,0.0
cat__barrio_CHICO NORTE III SECTOR,0.0
cat__barrio_BERLIN,0.0
cat__barrio_BILBAO,0.0
cat__barrio_CHICALA,0.0
cat__barrio_BOITA,0.0
cat__barrio_ESPARTILLAL,0.0
cat__barrio_ESTRELLA DEL NORTE,0.0
cat__barrio_LISBOA,0.0
cat__barrio_LA MARIA,0.0
cat__barrio_LA MACARENA,0.0
cat__barrio_LA LOMITA,0.0
cat__barrio_LA LIBERTAD,0.0
cat__upz_SOSIEGO,0.0
cat__barrio_LA LAGUNA FONTIBON,0.0
cat__barrio_LA INDEPENDENCIA,0.0
cat__barrio_LA GRANJA NORTE,0.0
cat__upz_SUBA,0.0
cat__barrio_LA GAITANA,0.0
cat__barrio_LA FLORIDA OCCIDENTAL,0.0
cat__barrio_LA FISCALA NORTE,0.0
cat__barrio_LA FISCALA,0.0
cat__barrio_LA FAVORITA,0.0
cat__upz_TEUSAQUILLO,0.0
